BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Mall Evacuation model.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/25/2021 10:32:20:924 +0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20,20,-20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250
staff-number,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
visitor-number,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,150,150,150,150,150,150,150,150,150,150,200,200,200,200,200,200,200,200,200,200,250,250,250,250,250,250,250,250,250,250,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,150,150,150,150,150,150,150,150,150,150,200,200,200,200,200,200,200,200,200,200,250,250,250,250,250,250,250,250,250,250,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,150,150,150,150,150,150,150,150,150,150,200,200,200,200,200,200,200,200,200,200,250,250,250,250,250,250,250,250,250,250,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,150,150,150,150,150,150,150,150,150,150,200,200,200,200,200,200,200,200,200,200,250,250,250,250,250,250,250,250,250,250,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,150,150,150,150,150,150,150,150,150,150,200,200,200,200,200,200,200,200,200,200,250,250,250,250,250,250,250,250,250,250
visitor-visible-radius,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
[steps],33,36,34,34,32,38,34,37,35,36,38,37,35,37,34,37,37,33,37,37,35,37,36,34,36,34,35,36,37,36,39,36,34,34,35,34,37,37,35,39,34,34,36,34,38,34,35,35,36,37,33,33,37,37,35,37,36,34,36,38,36,36,36,37,34,35,37,37,35,39,38,39,38,36,36,38,37,34,38,38,39,37,37,36,36,39,39,37,38,35,36,36,37,36,38,38,38,36,39,35,38,37,36,39,35,37,35,35,36,33,37,37,39,35,37,38,36,37,36,38,36,36,37,35,37,36,35,37,38,37,37,38,38,37,38,36,36,38,37,36,37,37,38,36,35,38,38,37,39,38,36,39,37,34,35,36,33,37,36,37,34,36,37,35,35,35,38,36,38,37,37,38,35,39,38,36,34,39,35,35,38,38,38,36,39,37,37,38,35,36,39,37,38,39,39,39,36,37,37,39,35,38,35,35,36,38,33,36,37,37,38,39,38,39,37,37,37,38,38,35,34,39,36,38,37,39,38,36,38,36,35,35,38,37,37,36,37,37,36,35,37,38,38,36,36,39,38,38,39,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[initial & final values],Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number,Remaining-visitor-number
,45,36,36,42,41,38,37,34,42,35,73,70,76,82,78,77,72,75,80,79,111,103,112,109,112,127,118,101,112,130,150,154,175,163,156,130,177,151,170,149,199,217,183,192,192,197,189,195,193,170,35,27,24,31,26,29,35,27,24,32,67,54,62,67,54,56,47,51,72,57,89,97,101,81,84,84,96,87,99,93,98,116,102,128,110,119,114,129,136,125,143,141,161,136,143,133,150,139,158,150,20,27,27,22,33,24,23,25,18,25,33,55,43,45,45,34,48,57,53,43,80,83,80,61,63,75,62,72,78,69,81,114,101,78,80,89,92,73,93,90,109,114,118,119,113,132,116,104,121,127,22,24,18,17,18,16,20,16,15,19,33,29,36,41,34,43,40,37,47,43,66,59,53,69,67,64,59,64,52,56,79,63,77,86,92,63,76,65,68,77,88,83,92,78,91,75,109,83,109,102,14,13,16,11,25,12,17,12,14,15,42,33,42,37,21,33,33,28,37,20,44,45,52,63,42,53,57,55,54,48,52,70,63,69,49,73,55,68,52,64,56,85,84,84,94,44,63,92,83,71
