BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,
Large Mall Evacuation model.nlogo,,,,,,,,,,
experiment,,,,,,,,,,
04/25/2021 10:25:52:277 +0100,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,
-20,20,-20,20,,,,,,,
[run number],staff-number,visitor-number,visitor-visible-radius,[step],Remaining-visitor-number,,,Ratio,,Mean
146,30,250,3,38,132,,,0.528,,
147,30,250,3,38,116,,,0.464,,
148,30,250,3,37,104,,,0.416,,
149,30,250,3,39,121,,,0.484,,
150,30,250,3,38,127,,,0.508,,
151,40,50,3,36,22,,,0.44,,0.37
152,40,50,3,39,24,,,0.48,,
153,40,50,3,37,18,,,0.36,,
154,40,50,3,34,17,,,0.34,,
155,40,50,3,35,18,,,0.36,,
156,40,50,3,36,16,,,0.32,,
157,40,50,3,33,20,,,0.4,,
158,40,50,3,37,16,,,0.32,,
159,40,50,3,36,15,,,0.3,,
160,40,50,3,37,19,,,0.38,,
161,40,100,3,34,33,,,0.33,,0.383
162,40,100,3,36,29,,,0.29,,
163,40,100,3,37,36,,,0.36,,
164,40,100,3,35,41,,,0.41,,
165,40,100,3,35,34,,,0.34,,
166,40,100,3,35,43,,,0.43,,
167,40,100,3,38,40,,,0.4,,
168,40,100,3,36,37,,,0.37,,
169,40,100,3,38,47,,,0.47,,
170,40,100,3,37,43,,,0.43,,
171,40,150,3,37,66,,,0.44,,0.406
172,40,150,3,38,59,,,0.393333333,,
173,40,150,3,35,53,,,0.353333333,,
174,40,150,3,39,69,,,0.46,,
175,40,150,3,38,67,,,0.446666667,,
176,40,150,3,36,64,,,0.426666667,,
177,40,150,3,34,59,,,0.393333333,,
178,40,150,3,39,64,,,0.426666667,,
179,40,150,3,35,52,,,0.346666667,,
180,40,150,3,35,56,,,0.373333333,,
181,40,200,3,38,79,,,0.395,,0.373
182,40,200,3,38,63,,,0.315,,
183,40,200,3,38,77,,,0.385,,
184,40,200,3,36,86,,,0.43,,
185,40,200,3,39,92,,,0.46,,
186,40,200,3,37,63,,,0.315,,
187,40,200,3,37,76,,,0.38,,
188,40,200,3,38,65,,,0.325,,
189,40,200,3,35,68,,,0.34,,
190,40,200,3,36,77,,,0.385,,
191,40,250,3,39,88,,,0.352,,
192,40,250,3,37,83,,,0.332,,0.3568
193,40,250,3,38,92,,,0.368,,
194,40,250,3,39,78,,,0.312,,
195,40,250,3,39,91,,,0.364,,
196,40,250,3,39,75,,,0.3,,
197,40,250,3,36,109,,,0.436,,
198,40,250,3,37,83,,,0.332,,
199,40,250,3,37,109,,,0.436,,
200,40,250,3,39,102,,,0.408,,
201,50,50,3,35,14,,,0.28,,0.298
202,50,50,3,38,13,,,0.26,,
203,50,50,3,35,16,,,0.32,,
204,50,50,3,35,11,,,0.22,,
205,50,50,3,36,25,,,0.5,,
206,50,50,3,38,12,,,0.24,,
207,50,50,3,33,17,,,0.34,,
208,50,50,3,36,12,,,0.24,,
209,50,50,3,37,14,,,0.28,,
210,50,50,3,37,15,,,0.3,,
211,50,100,3,38,42,,,0.42,,0.326
212,50,100,3,39,33,,,0.33,,
213,50,100,3,38,42,,,0.42,,
214,50,100,3,39,37,,,0.37,,
215,50,100,3,37,21,,,0.21,,
216,50,100,3,37,33,,,0.33,,
217,50,100,3,37,33,,,0.33,,
218,50,100,3,38,28,,,0.28,,
219,50,100,3,38,37,,,0.37,,
220,50,100,3,35,20,,,0.2,,
221,50,150,3,34,44,,,0.293333333,,0.342
222,50,150,3,39,45,,,0.3,,
223,50,150,3,36,52,,,0.346666667,,
224,50,150,3,38,63,,,0.42,,
225,50,150,3,37,42,,,0.28,,
226,50,150,3,39,53,,,0.353333333,,
227,50,150,3,38,57,,,0.38,,
228,50,150,3,36,55,,,0.366666667,,
229,50,150,3,38,54,,,0.36,,
